Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-A1-A0SK-01A,0.0478019671202279,0,0.0189203906675476,0.0612994672417127,0,0.0753312737575556,0,0.0607937969326717,0.0414637650610218,0,0,0.019980464667652,0,0.312881338105153,0.0685246022284727,0.107093583042459,0,0,0.0105142400666154,0,0.000208615444855035,0,0,0.450567540270008,0.894909535549577,0.824813504335945
TCGA-A1-A0SO-01A,0.0580713111061084,0,0.0362995895795854,0.0549152429366183,0,0.125767985080002,0.0186845242572175,0.0507995567022126,0.0147983715327559,0.000416573774180917,0.0159561494933166,0,0.00374568982253298,0.140828333253976,0.0984201623173376,0.0968321205826898,0.0095083888644504,0,0,0.0123248001249468,0.000965463419946266,0,0,0.653192864000325,0.782193524187605,0.738334262847877
TCGA-A1-A0SP-01A,0.0535677244099908,0,0.0752729650417563,0.0834767049004018,0,0.193312757072661,0.0185775528196117,0.0403333120842932,0.066796225278618,0,0,0.0530567045688331,0.0112075315372804,0.327774716770032,0.111907524040191,0.151169832805993,0.156610316795135,0.0230104252370938,0.0332346885864296,0,0.0313738817904031,0.0143001780190044,0,0.731868373119069,0.742394600025624,1.44498304175773
TCGA-A2-A04P-01A,0.0620459503016294,0.0353488728399223,0.0407496005594576,0.0557310082297618,0,0.109309885142734,0.00987809614775957,0.113503600627854,0.0515304070907964,0.000485773703697457,0,0.030880574508909,0.0177248528606155,0.0524502833369763,0.126303569588727,0.0907659992915299,0,0.0438307437896331,0.0366192533465448,0,0.00451842022847112,0.000115798399368535,0,0.772358003853362,0.713944639533562,0.881792689994388
TCGA-A2-A04Q-01A,0.0482653279098687,0.0416324940680681,0.157886148659031,0.432546882088714,0,0.0446946816408838,0.107759387904206,0.1489994897372,0.162004076086442,0,0,0.0698289758806381,0.0154475569011443,0.379737344693717,0.212258210009173,0.232131930436291,0.0689964734005747,0.0390852536595604,0.0741565055584602,0,0,0.00563886903041261,0,0.736590274759394,0.743461779952942,2.24106960766438
TCGA-A2-A04T-01A,0.0667652041079216,0,0.0391948205714262,0.204868510513303,0,0.0982727224666105,0.112140621302142,0.117833362539455,0.0343678427800693,0.0455188520401104,0,0.0557431156748519,0,0.229299253743635,0.142751753954045,0.188058426973653,0.047231377953938,0.0156729697615232,0.00978969531814672,0,0.00134482173654989,0.00867068356131705,0,0.707488937636904,0.752364394699438,1.4175240349987
TCGA-A2-A0CM-01A,0.0521876670887559,0,0.07207355951918,0.229074071723955,0,0.261551483475433,0.122966159577975,0.173014321099961,0.0904168950097469,0.0732227258333521,0,0.0481978244692559,0.012376040201653,0.385952542206542,0.298884328068891,0.189371795493743,0.00282908660944602,0,0.0491061298205932,0,0,0,0,0.558677498182383,0.833039886117378,2.06122463019848
TCGA-A2-A0D0-01A,0.0590691254005799,0,0,0.158880543616539,0,0.169769842634079,0.0585226855759229,0.0982360145338214,0.0421422371846138,0.0753203564676827,0.00349300601687579,0.019563695452346,0,0.277108834943243,0.121626580075969,0.157178103878438,0.0178126623604189,0,0,0.00935660973899428,0,0.00532981493046091,0,0.531811359371678,0.847958750575511,1.27341011280998
TCGA-A2-A0D2-01A,0.0569725656610451,0,0.0415426424887688,0.170553246545495,0,0.158244175794153,0.0823188462584573,0.0489291397752942,0.0103127456583202,0,0.0554917728389833,0,0.00925094799301698,0.290346115401719,0.151235699712767,0.176208432132774,0.0361161299267544,0.0331150062423833,0.0511991222580087,0,0,0,0,0.846678677544074,0.663282065545263,1.37183658868794
TCGA-A2-A0ST-01A,0.0995813228208142,0.050106875994448,0.122143901537553,0.332063691969654,0,0.313480837924956,0.0611799787442214,0.268663217318914,0.0970061765292982,0.0895660773944259,0,0.0657242736662551,0,0.319616527067306,0.380759706880196,0.200817077463011,0.211425993409128,0.0574467351417968,0.10404717678446,0,0,0.0173811877143116,0,0.817507879506699,0.686995822602884,2.79101075836075
TCGA-A2-A0SX-01A,0.0711796942908739,0,0.144362968712956,0.201994418256386,0,0.410169562686406,0.0377850449609974,0.168368039229312,0.0856746269066467,0,0.000790568916094075,0.0073248150971058,0,0.44378785189519,0.20468975980123,0.181635319111028,0.0169676381609182,0.0123131093708497,0.0222796397241285,0,0,0,0,0.82321148254358,0.676611239508811,2.00932305712012
TCGA-A2-A0T0-01A,0.0459840323654383,0,0,0.0487554426825188,0,0.209156386270307,0.000519558332366377,0.0618389678612882,0.043255991124577,0,0.0200367635501598,0.014649559113777,0,0.28037169856937,0.119720781464783,0.124829497623257,0.000991479263963427,0,0,0.0368063009954194,0,0.00308755237591409,0,0.73497894199301,0.717394947301389,1.01000401159314
TCGA-A2-A0T2-01A,0.0467373981524044,0,0.00587912472020039,0.126297037348888,0,0.0776752886364202,0.0413126652875814,0.0653140590985129,0.0160321844027916,0.00980158728562888,0,0,0,0.136773131398768,0.10637057601827,0.125487355858508,0.00260776269195127,0,0.0197066927866667,0,0,0.0191199568483827,0,0.626204819528127,0.795853285572505,0.799114820534975
TCGA-A2-A0YM-01A,0.0263535933896171,0,0.00862752708660347,0.0492498910772242,0,0.239791256159291,0.00817207515750604,0.0910581004211489,0.0402499988464975,0,0.0167391983800009,0.0163638521024316,0.0222034877442181,0.748562101064189,0.141825420284969,0.176482812982391,0.00387237809696065,0.0944213079832969,0,0.0831508621461065,0,0.00688883218852894,0,0.864714405455138,0.583946271086222,1.77401269511098
